domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId,verificationReason,reworkFocus
backup,backup,execute-auth-backup-export,admin,critical,draft,copilot-auto-verify,backup--execute-auth-backup-export,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for backup/execute-auth-backup-export"
backup,backup,execute-firestore-backup-export,admin,critical,draft,copilot-auto-verify,backup--execute-firestore-backup-export,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for backup/execute-firestore-backup-export"
productivity,calendar,mark-calendar-task-complete-or-reopen,general,critical,draft,copilot-auto-verify,calendar--mark-calendar-task-complete-or-reopen,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for calendar/mark-calendar-task-complete-or-reopen"
reporting,client-statement,generate-client-statement-ledger,general,critical,draft,copilot-auto-verify,client-statement--generate-client-statement-ledger,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/generate-client-statement-ledger"
reporting,client-statement,resolve-client-statement-data-load-failure,general,critical,draft,copilot-auto-verify,client-statement--resolve-client-statement-data-load-failure,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/resolve-client-statement-data-load-failure"
reporting,client-statement,select-client-for-statement,general,critical,draft,copilot-auto-verify,client-statement--select-client-for-statement,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/select-client-for-statement"
reporting,client-time-log,create-invoice-for-selected-client-total,general,critical,draft,copilot-auto-verify,client-time-log--create-invoice-for-selected-client-total,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/create-invoice-for-selected-client-total"
reporting,client-time-log,create-invoice-from-client-time-entry,general,critical,draft,copilot-auto-verify,client-time-log--create-invoice-from-client-time-entry,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/create-invoice-from-client-time-entry"
reporting,client-time-log,delete-manual-client-time-log-entry,general,critical,draft,copilot-auto-verify,client-time-log--delete-manual-client-time-log-entry,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/delete-manual-client-time-log-entry"
reporting,client-time-log,resolve-client-time-log-data-load-failure,general,critical,draft,copilot-auto-verify,client-time-log--resolve-client-time-log-data-load-failure,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/resolve-client-time-log-data-load-failure"
reporting,client-time-log,select-client-filter-for-time-log,general,critical,draft,copilot-auto-verify,client-time-log--select-client-filter-for-time-log,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/select-client-filter-for-time-log"
files,document-manager,bulk-delete-selected-file-records,admin,critical,draft,copilot-auto-verify,document-manager--bulk-delete-selected-file-records,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/bulk-delete-selected-file-records"
files,document-manager,delete-folder-and-subtree,general,critical,draft,copilot-auto-verify,document-manager--delete-folder-and-subtree,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/delete-folder-and-subtree"
files,document-manager,delete-single-file-record,general,critical,draft,copilot-auto-verify,document-manager--delete-single-file-record,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for document-manager/delete-single-file-record"
productivity,email-hub,link-email-activity-to-contact,general,critical,draft,copilot-auto-verify,email-hub--link-email-activity-to-contact,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for email-hub/link-email-activity-to-contact"
productivity,email-hub,save-email-activity-to-contact-folder,general,critical,draft,copilot-auto-verify,email-hub--save-email-activity-to-contact-folder,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for email-hub/save-email-activity-to-contact-folder"
accounting,ledgers,auto-ingest-unmatched-bank-transactions,accountant,critical,draft,copilot-auto-verify,ledgers--auto-ingest-unmatched-bank-transactions,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/auto-ingest-unmatched-bank-transactions"
accounting,ledgers,bulk-delete-ledger-transactions,admin,critical,draft,copilot-auto-verify,ledgers--bulk-delete-ledger-transactions,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/bulk-delete-ledger-transactions"
accounting,ledgers,bulk-verify-reconciliation-matches,accountant,critical,draft,copilot-auto-verify,ledgers--bulk-verify-reconciliation-matches,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/bulk-verify-reconciliation-matches"
accounting,ledgers,delete-ledger-transaction,accountant,critical,draft,copilot-auto-verify,ledgers--delete-ledger-transaction,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/delete-ledger-transaction"
accounting,ledgers,open-bks-general-ledger,accountant,critical,draft,copilot-auto-verify,ledgers--open-bks-general-ledger,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/open-bks-general-ledger"
accounting,ledgers,open-reconciliation-wizard,accountant,critical,draft,copilot-auto-verify,ledgers--open-reconciliation-wizard,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/open-reconciliation-wizard"
accounting,ledgers,post-ledger-transaction,accountant,critical,draft,copilot-auto-verify,ledgers--post-ledger-transaction,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/post-ledger-transaction"
accounting,ledgers,resolve-ledger-batch-delete-failure,admin,critical,draft,copilot-auto-verify,ledgers--resolve-ledger-batch-delete-failure,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/resolve-ledger-batch-delete-failure"
accounting,ledgers,upload-bank-statement-csv-for-reconciliation,accountant,critical,draft,copilot-auto-verify,ledgers--upload-bank-statement-csv-for-reconciliation,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for ledgers/upload-bank-statement-csv-for-reconciliation"
productivity,project-status,add-task-to-todo-column,general,critical,draft,copilot-auto-verify,project-status--add-task-to-todo-column,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/add-task-to-todo-column"
productivity,project-status,delete-task-from-board-card,general,critical,draft,copilot-auto-verify,project-status--delete-task-from-board-card,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/delete-task-from-board-card"
productivity,project-status,drag-task-between-status-columns,general,critical,draft,copilot-auto-verify,project-status--drag-task-between-status-columns,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/drag-task-between-status-columns"
productivity,project-status,mark-task-as-done-from-board,general,critical,draft,copilot-auto-verify,project-status--mark-task-as-done-from-board,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/mark-task-as-done-from-board"
productivity,project-status,resolve-task-status-update-failure,general,critical,draft,copilot-auto-verify,project-status--resolve-task-status-update-failure,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for project-status/resolve-task-status-update-failure"
productivity,projects,delete-project-and-associated-tasks,admin,critical,draft,copilot-auto-verify,projects--delete-project-and-associated-tasks,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for projects/delete-project-and-associated-tasks"
reporting,reports,generate-client-statement-by-client-and-date,general,critical,draft,copilot-auto-verify,reports--generate-client-statement-by-client-and-date,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for reports/generate-client-statement-by-client-and-date"
admin,user-manager,add-user-from-contact-directory,admin,critical,draft,copilot-auto-verify,user-manager--add-user-from-contact-directory,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for user-manager/add-user-from-contact-directory"
admin,user-manager,delete-user-profile-record,admin,critical,draft,copilot-auto-verify,user-manager--delete-user-profile-record,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for user-manager/delete-user-profile-record"
admin,user-manager,enforce-invite-role-hierarchy-rules,admin,critical,draft,copilot-auto-verify,user-manager--enforce-invite-role-hierarchy-rules,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for user-manager/enforce-invite-role-hierarchy-rules"
backup,backup,download-exported-backup-payloads,admin,important,draft,copilot-auto-verify,backup--download-exported-backup-payloads,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for backup/download-exported-backup-payloads"
backup,backup,prepare-export-payload-for-third-party-ingestion,admin,important,draft,copilot-auto-verify,backup--prepare-export-payload-for-third-party-ingestion,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for backup/prepare-export-payload-for-third-party-ingestion"
backup,backup,select-backup-types-for-export,admin,important,draft,copilot-auto-verify,backup--select-backup-types-for-export,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for backup/select-backup-types-for-export"
reporting,client-statement,clear-client-statement-date-filters,general,important,draft,copilot-auto-verify,client-statement--clear-client-statement-date-filters,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/clear-client-statement-date-filters"
reporting,client-statement,print-client-statement,general,important,draft,copilot-auto-verify,client-statement--print-client-statement,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/print-client-statement"
reporting,client-statement,set-client-statement-end-date,general,important,draft,copilot-auto-verify,client-statement--set-client-statement-end-date,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/set-client-statement-end-date"
reporting,client-statement,set-client-statement-start-date,general,important,draft,copilot-auto-verify,client-statement--set-client-statement-start-date,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-statement/set-client-statement-start-date"
reporting,client-time-log,block-direct-delete-for-calendar-sourced-client-entries,general,important,draft,copilot-auto-verify,client-time-log--block-direct-delete-for-calendar-sourced-client-entries,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/block-direct-delete-for-calendar-sourced-client-entries"
reporting,client-time-log,clear-client-time-log-filters,general,important,draft,copilot-auto-verify,client-time-log--clear-client-time-log-filters,assistant indicated missing or insufficient context,"Add module-specific UI path, required preconditions, and concrete field values for client-time-log/clear-client-time-log-filters"
