domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId,verificationReason,failureCluster,reworkStrategy
backup,backup,execute-auth-backup-export,admin,critical,draft,copilot-auto-verify,backup--execute-auth-backup-export,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for backup/execute-auth-backup-export. Add one direct troubleshooting branch for no-data and permission failures."
backup,backup,execute-firestore-backup-export,admin,critical,draft,copilot-auto-verify,backup--execute-firestore-backup-export,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for backup/execute-firestore-backup-export. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-statement,generate-client-statement-ledger,general,critical,draft,copilot-auto-verify,client-statement--generate-client-statement-ledger,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-statement/generate-client-statement-ledger. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-statement,resolve-client-statement-data-load-failure,general,critical,draft,copilot-auto-verify,client-statement--resolve-client-statement-data-load-failure,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-statement/resolve-client-statement-data-load-failure. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,create-invoice-for-selected-client-total,general,critical,draft,copilot-auto-verify,client-time-log--create-invoice-for-selected-client-total,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/create-invoice-for-selected-client-total. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,create-invoice-from-client-time-entry,general,critical,draft,copilot-auto-verify,client-time-log--create-invoice-from-client-time-entry,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/create-invoice-from-client-time-entry. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,delete-manual-client-time-log-entry,general,critical,draft,copilot-auto-verify,client-time-log--delete-manual-client-time-log-entry,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/delete-manual-client-time-log-entry. Add one direct troubleshooting branch for no-data and permission failures."
reporting,client-time-log,select-client-filter-for-time-log,general,critical,draft,copilot-auto-verify,client-time-log--select-client-filter-for-time-log,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for client-time-log/select-client-filter-for-time-log. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,bulk-delete-selected-file-records,admin,critical,draft,copilot-auto-verify,document-manager--bulk-delete-selected-file-records,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/bulk-delete-selected-file-records. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,delete-folder-and-subtree,general,critical,draft,copilot-auto-verify,document-manager--delete-folder-and-subtree,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/delete-folder-and-subtree. Add one direct troubleshooting branch for no-data and permission failures."
files,document-manager,delete-single-file-record,general,critical,draft,copilot-auto-verify,document-manager--delete-single-file-record,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for document-manager/delete-single-file-record. Add one direct troubleshooting branch for no-data and permission failures."
productivity,email-hub,link-email-activity-to-contact,general,critical,draft,copilot-auto-verify,email-hub--link-email-activity-to-contact,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for email-hub/link-email-activity-to-contact. Add one direct troubleshooting branch for no-data and permission failures."
productivity,email-hub,save-email-activity-to-contact-folder,general,critical,draft,copilot-auto-verify,email-hub--save-email-activity-to-contact-folder,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for email-hub/save-email-activity-to-contact-folder. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,auto-ingest-unmatched-bank-transactions,accountant,critical,draft,copilot-auto-verify,ledgers--auto-ingest-unmatched-bank-transactions,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/auto-ingest-unmatched-bank-transactions. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,bulk-delete-ledger-transactions,admin,critical,draft,copilot-auto-verify,ledgers--bulk-delete-ledger-transactions,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/bulk-delete-ledger-transactions. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,bulk-verify-reconciliation-matches,accountant,critical,draft,copilot-auto-verify,ledgers--bulk-verify-reconciliation-matches,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/bulk-verify-reconciliation-matches. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,delete-ledger-transaction,accountant,critical,draft,copilot-auto-verify,ledgers--delete-ledger-transaction,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/delete-ledger-transaction. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,open-bks-general-ledger,accountant,critical,draft,copilot-auto-verify,ledgers--open-bks-general-ledger,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/open-bks-general-ledger. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,open-reconciliation-wizard,accountant,critical,draft,copilot-auto-verify,ledgers--open-reconciliation-wizard,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/open-reconciliation-wizard. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,resolve-ledger-batch-delete-failure,admin,critical,draft,copilot-auto-verify,ledgers--resolve-ledger-batch-delete-failure,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/resolve-ledger-batch-delete-failure. Add one direct troubleshooting branch for no-data and permission failures."
accounting,ledgers,upload-bank-statement-csv-for-reconciliation,accountant,critical,draft,copilot-auto-verify,ledgers--upload-bank-statement-csv-for-reconciliation,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for ledgers/upload-bank-statement-csv-for-reconciliation. Add one direct troubleshooting branch for no-data and permission failures."
productivity,project-status,delete-task-from-board-card,general,critical,draft,copilot-auto-verify,project-status--delete-task-from-board-card,assistant indicated missing or insufficient context,missing-context,"Embed explicit UI path, required selections, and concrete field examples for project-status/delete-task-from-board-card. Add one direct troubleshooting branch for no-data and permission failures."
