domain,module,intent,targetAudience,criticality,status,owner,sourceGuideId
onboarding,auth,create-account,general,critical,verified,copilot-auto-verify,auth--create-account
onboarding,auth,sign-in-recovery,general,critical,verified,copilot-auto-verify,auth--sign-in-recovery
onboarding,auth,invite-team-members,admin,critical,verified,copilot-auto-verify,auth--invite-team-members
crm,contacts,create-contact,general,critical,verified,copilot-auto-verify,contacts--create-contact
crm,contacts,convert-lead,consultant,important,verified,copilot-auto-verify,contacts--convert-lead
crm,contacts,merge-duplicates,admin,important,verified,copilot-auto-verify,contacts--merge-duplicates
files,files,upload-document,general,critical,verified,copilot-auto-verify,files--upload-document
files,files,link-document-to-contact,general,important,verified,copilot-auto-verify,files--link-document-to-contact
files,files,recover-missing-document,admin,important,verified,copilot-auto-verify,files--recover-missing-document
accounting,accounting,categorize-expense,accountant,critical,verified,copilot-auto-verify,accounting--categorize-expense
accounting,accounting,post-journal-entry,accountant,critical,verified,copilot-auto-verify,accounting--post-journal-entry
accounting,accounting,reconcile-transactions,accountant,critical,verified,copilot-auto-verify,accounting--reconcile-transactions
payroll,payroll,create-worker-profile,admin,critical,verified,copilot-auto-verify,payroll--create-worker-profile
payroll,payroll,run-payroll,accountant,critical,verified,copilot-auto-verify,payroll--run-payroll
payroll,payroll,correct-payroll-error,accountant,important,verified,copilot-auto-verify,payroll--correct-payroll-error
reporting,reports,run-analytics-report,general,critical,verified,copilot-auto-verify,reports--run-analytics-report
reporting,reports,export-reports,general,critical,verified,copilot-auto-verify,reports--export-reports
reporting,reports,validate-export,general,important,verified,copilot-auto-verify,reports--validate-export
admin,settings,configure-role-permissions,admin,critical,verified,copilot-auto-verify,settings--configure-role-permissions
admin,settings,audit-configuration-changes,admin,important,verified,copilot-auto-verify,settings--audit-configuration-changes
assistant,knowledge,reingest-guides,admin,critical,verified,copilot-auto-verify,knowledge--reingest-guides
assistant,knowledge,diagnose-assistant-errors,admin,critical,verified,copilot-auto-verify,knowledge--diagnose-assistant-errors
productivity,tasks,create-action-chip,general,critical,verified,copilot-auto-verify,tasks--create-action-chip
productivity,tasks,edit-action-chip,general,important,verified,copilot-auto-verify,tasks--edit-action-chip
productivity,tasks,assign-action-chip,admin,important,verified,copilot-auto-verify,tasks--assign-action-chip
productivity,tasks,complete-action-chip,general,critical,verified,copilot-auto-verify,tasks--complete-action-chip
productivity,tasks,troubleshoot-action-chip-not-saving,general,critical,verified,copilot-auto-verify,tasks--troubleshoot-action-chip-not-saving
productivity,tasks,fix-action-chip-permission-error,admin,important,verified,copilot-auto-verify,tasks--fix-action-chip-permission-error
onboarding,auth,verify-email-address,general,critical,verified,copilot-auto-verify,auth--verify-email-address
onboarding,auth,reset-forgotten-password,general,critical,verified,copilot-auto-verify,auth--reset-forgotten-password
onboarding,auth,enable-mfa,admin,critical,verified,copilot-auto-verify,auth--enable-mfa
onboarding,auth,disable-mfa,admin,important,verified,copilot-auto-verify,auth--disable-mfa
onboarding,auth,rotate-mfa-device,general,important,verified,copilot-auto-verify,auth--rotate-mfa-device
onboarding,auth,manage-session-timeout,admin,important,verified,copilot-auto-verify,auth--manage-session-timeout
onboarding,auth,enforce-password-policy,admin,critical,verified,copilot-auto-verify,auth--enforce-password-policy
onboarding,auth,unlock-locked-account,admin,critical,verified,copilot-auto-verify,auth--unlock-locked-account
onboarding,auth,deactivate-user-account,admin,critical,verified,copilot-auto-verify,auth--deactivate-user-account
onboarding,auth,reactivate-user-account,admin,important,verified,copilot-auto-verify,auth--reactivate-user-account
onboarding,auth,remove-team-member,admin,critical,verified,copilot-auto-verify,auth--remove-team-member
onboarding,auth,transfer-account-ownership,admin,critical,verified,copilot-auto-verify,auth--transfer-account-ownership
onboarding,auth,configure-sso,admin,critical,verified,copilot-auto-verify,auth--configure-sso
